,,,stan,er
-964.65,-136.37,0.10992,0.067412877,63.05490054
-964.59,-31.301,0.016334,0.01025436,59.28833891
-964.54,-244.55,0.20447,0.124243227,64.57235106
-964.53,-16.577,0.0031503,0.002170505,45.14131127
-964.52,264.01,-0.24528,-0.148397553,-65.2857447
-964.51,-143.38,0.11612,0.071185421,63.12328898
-964.46,-264.24,0.2214,0.134266777,64.89559417
-964.44,-96.021,0.074135,0.045629555,62.4714494
-964.3,243.99,-0.22803,-0.138211017,-64.98684778
-964.26,-170.23,0.13982,0.085536097,63.46315163
-964.26,-157.39,0.12852,0.078707277,63.2885866
-963.92,-150.49,0.12248,0.07506086,63.17425698
-963.89,75.616,-0.079451,-0.048467364,-63.9268016
-963.77,-220.28,0.18364,0.111886654,64.1303892
-963.41,112.11,-0.11208,-0.06840489,-63.84793536
-963.31,-189.78,0.15713,0.096013534,63.65401086
-963.28,166.35,-0.16024,-0.097649871,-64.09647957
-963.06,-61.818,0.043712,0.027048178,61.60792533
-962.92,269.77,-0.25062,-0.151669864,-65.24047278
-962.9,12.038,-0.022506,-0.013577522,-65.75925881
-962.89,-269.88,0.2266,0.137444245,64.86685185
-962.8,19.658,-0.029348,-0.017777691,-65.08330898
-962.62,250.37,-0.23393,-0.141828908,-64.93816626
-962.61,-226.75,0.18948,0.115444774,64.13042587
-962.56,-251.23,0.21066,0.128048445,64.51585989
-962.4,-88.562,0.06766,0.041717691,62.18538972
-962.37,-0.26574,-0.011463,-0.006799832,-68.57769769
-962.33,220.08,-0.20764,-0.126201547,-64.53047183
-962.1,231.77,-0.21788,-0.132326861,-64.65288891
-962.05,119.91,-0.11917,-0.072777251,-63.74622355
-961.96,173.63,-0.16688,-0.101728665,-64.04422486
-961.94,89.894,-0.092373,-0.056420685,-63.72186827
-961.93,-52.526,0.035449,0.021997683,61.14878842
-961.78,-196.5,0.16328,0.099791942,63.62042495
-961.72,-233.36,0.1954,0.119025999,64.1658139
-961.64,39.938,-0.047592,-0.028988429,-64.17584862
-961.63,209.47,-0.19848,-0.120763735,-64.35397541
-961.51,195.81,-0.18651,-0.113583682,-64.20492504
-961.43,-76.078,0.056576,0.034952728,61.86433223
-961.42,-116.53,0.092687,0.057026174,62.53413833
-961.33,202.56,-0.19248,-0.117180457,-64.25947219
-961.29,189.09,-0.18063,-0.110059296,-64.12062158
-961.26,-275.64,0.23192,0.140699829,64.83317801
-961.26,275.64,-0.25608,-0.155014249,-65.19771695
-961.23,68.694,-0.073428,-0.044841899,-63.74864113
-961.11,53.683,-0.059961,-0.036586698,-63.88743454
-961.06,257.17,-0.24018,-0.145645329,-64.90745162
-960.85,181.35,-0.17388,-0.106009196,-64.02350594
-960.79,-8.4058,-0.0041409,-0.002305459,-79.6128384
-960.75,-38.505,0.022918,0.014317655,60.06811258
-960.75,-177.21,0.14652,0.089735711,63.27947775
-960.71,-258.18,0.21707,0.131967207,64.48783365
-960.54,-24.412,0.010258,0.00654235,56.79382106
-960.48,82.465,-0.085835,-0.05245912,-63.6226459
-960.45,127.35,-0.12599,-0.076988352,-63.64813312
-960.44,-163.45,0.13443,0.082438734,63.06655025
-960.39,-203.25,0.16944,0.103564913,63.60753387
-960.06,225.77,-0.21307,-0.129593223,-64.4144616
-960,238.69,-0.22436,-0.136332001,-64.56884521
-959.93,97.839,-0.099662,-0.060936215,-63.55134711
-959.86,-240.38,0.20188,0.123003898,64.1248802
-959.7,281.04,-0.26112,-0.158108511,-65.1524001
-959.67,-281.13,0.23701,0.143814643,64.80241201
-959.44,135.15,-0.13308,-0.081343201,-63.60310118
